ID_Produto,Categoria_Produto,Preco_Base,Nome_Produto
1,Eletrônicos,148.01004815711855,Câmera
2,Casa e Jardim,232.6626991064128,Lâmpada
3,Esportes,386.93996747045327,Skate
4,Livros,375.00426562518976,Infantil
5,Esportes,415.9530380387374,Bola de futebol
6,Brinquedos,332.54988624339774,Jogo de tabuleiro
7,Livros,309.81309631112333,História
8,Esportes,67.06222754420612,Camisa de time
9,Roupas,369.2386124200964,Jaqueta
10,Beleza,291.70896651763576,Shampoo
11,Casa e Jardim,202.5751509249393,Cortina
12,Brinquedos,174.52121406382784,Carrinho
13,Eletrônicos,227.8994943275539,Notebook
14,Esportes,242.58891931932655,Skate
15,Alimentos,343.16577891496473,Feijão
16,Móveis,358.7705023981356,Cadeira
17,Esportes,54.5247873052281,Camisa de time
18,Beleza,479.6423088803147,Creme hidratante
19,Roupas,186.1247624163596,Sapato
20,Alimentos,206.6761815759677,Arroz
21,Brinquedos,420.8235334642377,Bicicleta
22,Eletrônicos,394.6328351460762,Smartphone
23,Esportes,354.79162661489846,Tênis de corrida
24,Alimentos,200.63463780738132,Arroz
25,Beleza,436.5598268874717,Shampoo
26,Eletrônicos,16.086203012729158,Fone de ouvido
27,Eletrônicos,108.81313168497373,Smartphone
28,Roupas,470.013768509975,Jaqueta
29,Ferramentas,422.319698386003,Alicate
30,Brinquedos,445.8635341442455,Bola
31,Brinquedos,100.5592989311147,Bola
32,Livros,80.99069415550345,Biografia
33,Alimentos,278.7576730735716,Carne
34,Eletrônicos,286.6181470739508,Notebook
35,Roupas,105.21131687865314,Jaqueta
36,Esportes,102.31624671091012,Skate
37,Livros,143.14821522022618,Infantil
38,Ferramentas,342.3516412285696,Serra
39,Roupas,498.8930659766895,Jaqueta
40,Roupas,127.35018051682786,Sapato
41,Casa e Jardim,58.02832304563233,Tapete
42,Livros,28.407942573124227,Ficção Científica
43,Casa e Jardim,140.49092229542518,Vaso de planta
44,Beleza,304.2771320263883,Maquiagem
45,Ferramentas,222.83025216693696,Chave de fenda
46,Eletrônicos,494.042614398254,TV
47,Móveis,361.4877216736799,Cama
48,Brinquedos,56.41661116932846,Bicicleta
49,Eletrônicos,461.7972996859557,TV
50,Eletrônicos,490.3219656070741,Fone de ouvido
51,Esportes,366.2266402922876,Tênis de corrida
52,Beleza,176.6567559050647,Perfume
53,Móveis,480.2740049348487,Guarda-roupa
54,Livros,277.8297851693528,Romance
55,Livros,482.8243372979092,Biografia
56,Casa e Jardim,291.6655886704469,Tapete
57,Móveis,346.1966673184646,Sofá
58,Casa e Jardim,361.5531243699722,Lâmpada
59,Beleza,205.53477237296704,Creme hidratante
60,Beleza,164.22305609128898,Shampoo
61,Roupas,257.5059573986591,Vestido
62,Livros,92.12513138189657,Infantil
63,Móveis,330.0514571214742,Mesa
64,Alimentos,377.8803738715127,Feijão
65,Casa e Jardim,396.2470602696644,Tapete
66,Móveis,14.663626618831042,Sofá
67,Livros,20.13916838777011,Infantil
68,Beleza,168.02499716140275,Perfume
69,Eletrônicos,183.86527567679445,TV
70,Alimentos,388.672677616131,Feijão
71,Beleza,411.461792233156,Creme hidratante
72,Casa e Jardim,345.9804778932364,Jogo de ferramentas
73,Beleza,213.50215535759048,Creme hidratante
74,Casa e Jardim,150.23533476876736,Cortina
